customer_id,first_name,last_name,email,phone_number,address
1,FirstName_1,LastName_1,email_1@example.com,123-456-7891,Address_1
2,FirstName_2,LastName_2,email_2@example.com,123-456-7892,Address_2
3,FirstName_3,LastName_3,email_3@example.com,123-456-7893,Address_3
4,FirstName_4,LastName_4,email_4@example.com,123-456-7894,Address_4
5,FirstName_5,LastName_5,email_5@example.com,123-456-7895,Address_5
6,FirstName_6,LastName_6,email_6@example.com,123-456-7896,Address_6
7,FirstName_7,LastName_7,email_7@example.com,123-456-7897,Address_7
8,FirstName_8,LastName_8,email_8@example.com,123-456-7898,Address_8
9,FirstName_9,LastName_9,email_9@example.com,123-456-7899,Address_9
10,FirstName_10,LastName_10,email_10@example.com,123-456-7890,Address_10
11,FirstName_11,LastName_11,email_11@example.com,123-456-7891,Address_11
12,FirstName_12,LastName_12,email_12@example.com,123-456-7892,Address_12
13,FirstName_13,LastName_13,email_13@example.com,123-456-7893,Address_13
14,FirstName_14,LastName_14,email_14@example.com,123-456-7894,Address_14
15,FirstName_15,LastName_15,email_15@example.com,123-456-7895,Address_15
16,FirstName_16,LastName_16,email_16@example.com,123-456-7896,Address_16
17,FirstName_17,LastName_17,email_17@example.com,123-456-7897,Address_17
18,FirstName_18,LastName_18,email_18@example.com,123-456-7898,Address_18
19,FirstName_19,LastName_19,email_19@example.com,123-456-7899,Address_19
20,FirstName_20,LastName_20,email_20@example.com,123-456-7890,Address_20
